texto,fecha,usuario
"rt @pochoraposo: la dirigencia de #racing escuchó el pedido del hincha y contrato a fernando gago, consideran que con su llegada quedará cubierta la posición del 5. https://t.co/sl7wk7s0yz",2021-10-18 23:59:55 UTC,Racinguista1903
"rt @marcoanibal: ¿en que mundo vive?

¿en qué nube rosada vegeta?

qué nivel de servilismo

nada que hacer, la pauta a este pobre y triste hijo de la gran pauta le quitó hasta la dignidad

vivanco, otro de los mozos de heces de lasso https://t.co/w1pni7idmp",2021-10-18 23:59:55 UTC,erfab_f24
"rt @palejaz: hace un tiempo, comenzamos con un proyecto de música electrónica llamado a_dmind y hoy tenemos nuestro primer evento con 2 djs internacionales🖤 este viernes 15 de octubre 🔥

allá los espero 🎶 , pueden conseguir sus tickets con  @onevibecol 🔁
si pueden dar rt les agradecería https://t.co/fxswvz2vod",2021-10-18 23:59:55 UTC,hernanyca
@loadstomli chamuyar a una persona,2021-10-18 23:59:55 UTC,svxdani
perfomorir,2021-10-18 23:59:55 UTC,Roa3005
"@mujernormanda @edufeiok todos están en campaña .... este pais es un vergüenza y después piden que no se vayan de la argentina??
larreta se puso el traje de presidente cuando la puso a vidal ... veremos como le va, creo que no llega a la entrada de la rosada.-",2021-10-18 23:59:55 UTC,ejdc59
"rt @mara36763076: #últimahora
🚨 en méxico más de 30 mil niños, han sido cooptados por el crimen organizado!
#conferenciapresidente
#felizlunes 
🗣”hoy niños, niñas y adolescentes son, lo digo con profundo terror y dolor, los desechables del crimen organizado”.
la violencia va en aumento! https://t.co/phu3fu1tfi",2021-10-18 23:59:55 UTC,gilmm1979
@maalejandraav la pluma negra es como el marcador negro. no la cambio por nada.,2021-10-18 23:59:55 UTC,rafalquezm
@hjmiflac0 pasa número a ver si tus stickers son mejores que los míos,2021-10-18 23:59:55 UTC,wiggiiee
rt @nicoquetbot: feliz día a las mamás de michis que también son mamas,2021-10-18 23:59:55 UTC,mar_contreras8
"rt @baradit: hace 2 años hubo que abrir a patadas las puertas de las grandes alamedas

pero el pueblo de chile es sensato, no como nosotros en twiter. marchó pacíficamente el 25 octubre. fue en masa a votar el 80-20 y luego en masa a elegir constituyentes. ahora sigue la cc
el resto es challa",2021-10-18 23:59:55 UTC,CHSANHUEZAC
"uta los csm. no aprenden a manifestarse pacíficamente. (pero estoy re seguro que estos no son manifestantes, son simples ladrones ) https://t.co/uyaerugjsc",2021-10-18 23:59:55 UTC,Nicotoo_
"rt @luisced73160556: ♦️ el instituto venezolano de los seguros sociales (,ivss) informa a las pensionadas y pensiónados de la patria que el día 18 de octubre del  2021 les será depositado el monto correspondiente al mes de octubre y un mes de aguinaldo.

📲 🇻🇪 únete a nuestro canal de informativo en https://t.co/mv2dthhbtl",2021-10-18 23:59:55 UTC,rojointenso60
"@josevaldezsv entiendo, analizando antes q el canser se extiende y mucho + poer!

god bless, 
🙏🇸🇻🇺🇸👍💯",2021-10-18 23:59:55 UTC,Jesus36627711
rt @sic: el trailer de @thebatman… pero con @tedlasso: https://t.co/oeyf3gqhec,2021-10-18 23:59:55 UTC,Gauyo
"↳ @rhiex18 ↰

thxs por este espectacular directo rex, sin palabras lo genial que estuvo, pocos sustos y muchas risas. en fin, genial el stream de hoy, descansa y besos para neko 💙 https://t.co/qy645rzzmq",2021-10-18 23:59:55 UTC,Syko_08
"siempre que tengo que preguntar algo por wsp a una persona que no conozco saco la foto de perfil o la oculto, después de estar horas así mi mamá me manda un mensaje preguntando si estoy bien xq no ve mi foto, jajajaja mira como te explico que me olvide ?",2021-10-18 23:59:55 UTC,carocordoba__
rt @alifadamian: de locos... ¿entonces leopoldo lópez reconoce a henri falcón como líder de la oposición? https://t.co/tbl3rdh2dx,2021-10-18 23:59:55 UTC,Valecillosj25
"rt @ernezurdo: @zaxti ¡en noche de atardeceres! no traigo estos ejemplares a competir. no son de mi tierra natal. y mucho menos son de hoy. son recuerdos del ya lejano 2005, de la hermosa matanzas, que no quise dejarles de compartir tampoco en esta ocasión.

¡magia matancera! https://t.co/k2ud7hnana",2021-10-18 23:59:55 UTC,Isa_cubanita94
esa cuenta nos tiene con un juego muy malo xd,2021-10-18 23:59:55 UTC,ladydiorbvlgari
"#tepexigobiernoprogresista entre las obras más importantes destacó, el andador de la comunidad de colonia morelos a la cabecera municipal, calles pavimentadas en diferentes puntos del municipio.",2021-10-18 23:59:55 UTC,Guadalu82021273
rt @francis75816531: la alcaldia  de maracay están  cobrando  los impuestos  calculado  a petro  muy caro multando y cerrando  los comercio como vamos a paga trabajando  medio dia @nicolasmaduro @maduro_en @jaarreaza @noticierovv @el_noticiero @dcabellor @vtvcanal8 @francis75816531,2021-10-18 23:59:55 UTC,Francis75816531
"rt @psisuki: bloquear a una persona en redes no es un acto inmaduro, de hecho en muchas ocasiones es la mejor opción, proteger tu salud mental y evitar el contacto con una persona de la que te cuesta mucho escapar y que sabes con certeza que te daña. basta de llamar inmadurez al autocuidado",2021-10-18 23:59:55 UTC,feBuSa18
marico me jodí una pata saltando el la cerca del gallinero jaisjsoakaksks :(,2021-10-18 23:59:55 UTC,Codeinecraazy_
"puta la gente!!! esto es lo que no queremos!!! puros delincuentes aprovechándose de las circunstancias.
esta actitud no representa el espíritu de la convocatoria. https://t.co/dxgop6bchd",2021-10-18 23:59:55 UTC,EduParv
y el almirante no dijo: so ta listo. https://t.co/gegg2h7smp,2021-10-18 23:59:55 UTC,aescalona51
rt @ciencia_ar: conocé el alcance y todos los detalles de esta medida de @casarosada: https://t.co/jnvs57k2vu https://t.co/nx7fqok1z4,2021-10-18 23:59:55 UTC,GrArber
@jaredespm tocará ir entonces?,2021-10-18 23:59:55 UTC,jenn_plz
"ya no me interesa nadie,la paso tan bien estando sola sin renegar y depender de nadie",2021-10-18 23:59:55 UTC,vikyvalentte
@fbandeira5 @cesaramferreira gustavo henrique kkkk,2021-10-18 23:59:55 UTC,rivadafiel
"rt @pili_quintana: deténte, sombra de mi bien esquivo,
imagen del hechizo que más quiero,
bella ilusión por quien alegre muero,
dulce ficción por quien penosa vivo.",2021-10-18 23:59:55 UTC,XimenaOsorioLo1
"@navarrowolff perdedor no porque gustavo intentó tumbarlo a punta de terrorismo jamás visto en colombia y no pudo.
y no solo eso gracias al buen actuar de duque la protesta social quedó totalmente por el suelo.",2021-10-18 23:59:55 UTC,alexandrosanz7
"rt @makdavicho1974: la población fascinada con este programa.

hasta q un presidente de preocupa... nos sacamos la loteria... no pensé q una obra así llegara a mi colonia.... son solo algunos testimonios!!

#apoyototalamlo https://t.co/n8tp1b9fgr",2021-10-18 23:59:55 UTC,FlorAmorRoja
buenas tardes https://t.co/zqa4tretyo,2021-10-18 23:59:55 UTC,CarmenL61622986
@ihetiann porfaaa,2021-10-18 23:59:55 UTC,jinniebonitop
"rt @mariarosaf_: si te cuento que estoy mal es pq confío en vos, para los demás siempre estoy bien",2021-10-18 23:59:55 UTC,iinaaarriola
"rt @don_favs: -y generalmente ¿que haces en tu tiempo libre?
-pues… https://t.co/evxrahavcl",2021-10-18 23:59:55 UTC,PatyBastY18
"rt @neron50outlook1: las esposas de los de izquierda no se embarazan porque ""hacen todo con la lengua""
las de los radicales porque ""cuando están arriba no saben que hacer""
y las del pro "" porque hacen todo por detrás""",2021-10-18 23:59:55 UTC,susanalogon
rt @luisbahamondes: lo único que tenemos para borrar su legado: nosotrxs y la calle #estallidosocial #plazadignidad https://t.co/bij9chylxj,2021-10-18 23:59:55 UTC,nicoberniz
"rt @alasthehumanity: chile es como una persona a la que le han pasado cosas terribles y traumáticas, y en vez de enfrentarlo y hacer terapia decidió seguir no más, y por eso cada cierto tiempo tiene una crisis brígida que tampoco procesa, solo la ignora, y así va acumulando traumas y muertos.",2021-10-18 23:59:55 UTC,andreaquinchc
"@pepepolitik dejate la barba.
y no te la pintes.
envejece con gracia...",2021-10-18 23:59:55 UTC,SaulMD
rt @elclarindechile: esto no saldrá en la tele https://t.co/uqdzzcoknq,2021-10-18 23:59:55 UTC,erdosain87
"rt @cdhcmx: la #cdhcm mantiene su compromiso con la defensa de los derechos de todas las mujeres que viven y transitan en la #cdmx.

conoce las leyes que garantizan tus libertades.

recuerda que nuestra línea #cdhcmamiga te atiende las 24 horas. https://t.co/rk2x3d287y",2021-10-18 23:59:55 UTC,HopeMoonBarrios
"rt @ejutv: añez escribe carta y vuelve a denunciar que es secuestrada injusta e ilegalmente 
autopublicado en https://t.co/rr7tuo3ztu de detrás de la verdad,facebook https://t.co/3wrmjorgch",2021-10-18 23:59:55 UTC,BurgosJosemaria
rt @zuritacarpio: ¿alguien de ustedes vio el 18% de disminución que asegura @edelamadrid? ¿en qué méxico vivía? https://t.co/bovqijmimc,2021-10-18 23:59:55 UTC,CARDEXJESS
la vida después de ser sacerdote: athié (lo mejor aristegui en vivo 7 ju... https://t.co/rqllnuohu5 via @youtube,2021-10-18 23:59:55 UTC,MadelSocorroDi3
"🔴oscar maúrtua, ¿q excusas dirá en la comisión de relaciones exteriores de diplomacia con venezuela?. rirchard rojas investigado y con pedido de la @fiscaliaperu no salir 12 meses del país. la relación con maduro, inaceptable. no es respetuosa ni democrática. @cancilleriaperu ‼️ https://t.co/23uucgccue",2021-10-18 23:59:55 UTC,Patriota200Peru
"gracias a la 𝙐𝙣𝙞ó𝙣,𝙁𝙧𝙖𝙩𝙚𝙧𝙣𝙞𝙙𝙖𝙙 𝙮 𝙇𝙪𝙘𝙝𝙖,que ha dado el pueblo de t. de rodríguez de la mano de nuestros compañeros 𝘼𝙣𝙩𝙤𝙧𝙘𝙝𝙞𝙨𝙩𝙖𝙨 hoy son testigos de que unidos pueden mejorar sus condiciones de vida.¡sigamos avanzado!🔥
#tepexigobiernoprogresista",2021-10-18 23:59:55 UTC,Amandahdz38
"rt @mashirafael: lasso insiste en degradar moralmente a su gobierno y a la república.
mi solidaridad con los familiares de las tres personas -entre ellas un niño de 3 años-masacradas en quinsaloma.
#loscorruptossiemprefueronellos https://t.co/z0gdfksg6h",2021-10-18 23:59:55 UTC,jimsamv
@parconation @originalyuan @xgabrie_l15 @med53771574 @notpaloleaks @shiinabr cuando se entere que dune es un libro de 1965 le da algo :p,2021-10-18 23:59:55 UTC,TUKY_20
@pantheon_fun quede,2021-10-18 23:59:55 UTC,d_angeln
"rt @betancour: @protestamilitar ahora que la noticia es saab pasa al olvido baduel, pero una cosa cierta las garantias jurídicas fueron garantizadas a uno al otro no.",2021-10-18 23:59:55 UTC,ProtestaMilitar
rt @luisbahamondes: lo único que tenemos para borrar su legado: nosotrxs y la calle #estallidosocial #plazadignidad https://t.co/bij9chylxj,2021-10-18 23:59:55 UTC,marcelillavn
pana me muero https://t.co/ic3wuw5rsv,2021-10-18 23:59:55 UTC,ngxvigevani
@ser_hug fuera toda la mierda migrante.,2021-10-18 23:59:55 UTC,CsarAIP1
no se que hacer,2021-10-18 23:59:55 UTC,Cameranitaverde
"rt @jagaggero: @mangelhv fue una ""ingenuidad"" criminal",2021-10-18 23:59:55 UTC,mangelhv
unas papas fritas es lo que mi cora necesita,2021-10-18 23:59:55 UTC,miliibalsaa
@lulimontebr2 te envidio igual,2021-10-18 23:59:55 UTC,BahonMartina
@atuxlife jajajajajajaa,2021-10-18 23:59:55 UTC,Cielito_DelMar
"rt @ieiuchile: te esperamos en el #webinar ""argentina frente al cruce: el escenario postelectoral"", en el marco de la cátedra argentina, el próximo 15 de noviembre a las 18:00 hrs.

exponen:
camillo robertini
ariel goldstein

modera: maría josé henríquez

inscripciones: https://t.co/oyjjwukxcl https://t.co/yz9ogzhska",2021-10-18 23:59:55 UTC,AGoldok
cansada de llorar por todo.,2021-10-18 23:59:55 UTC,Laura03Yiseth
"rt @tere_laprofe73: a los que ya se les habia olvidado lo que significa dejarle el pais en bandeja a estos vandalos , aca tienen un recordatorio ...
gracias por incentivar el voto kast #kastpresidente2022 
#kastenprimeravuelta https://t.co/i7eqray9uz",2021-10-18 23:59:55 UTC,chica61432746
"@mmlagoscc @mcubillossigall como puedes mentir tanto querida marta,instituto n.tomado 2 años por ñinitos llenos de sueños (pequeños delincuentes).
vergüenza nacional",2021-10-18 23:59:55 UTC,gurkaelsalvaje
"rt @fncchile: mañana 19 de octubre, en el marco del #diainternacionaldelcancerdemama @achago @gist y @fncchile los invitan al compromiso simbólico de los candidatos y candidata presidencial, con el fin de seguir con la implementación de la #leydelcancer

inscríbete https://t.co/dnzd9pjf5m https://t.co/am3x69pvjv",2021-10-18 23:59:55 UTC,PamelaFOV
"@benjacrack54 uy pta madre shiii :000000

pero no tebgo tantos panas pa jugar 🔫🔫🔫",2021-10-18 23:59:55 UTC,DeeDee_Sl
"rt @dios733: que la sabiduría de dios caiga sobre tu vida y tomes las mejores decisiones.

los que quieren esto digan amén!!!!",2021-10-18 23:59:55 UTC,williamromero67
"rt @igonima: algunos colombianos si hablan muchas güevonadas! que bogotá es atenas, que colombia es suiza, que la cabal es ángela merkel, que son el principal aliado comercial de usa, que uribe es el gran colombiano. parecen estar drogados a toda hora!",2021-10-18 23:59:55 UTC,cessar22
"rt @astroaventura: la impresionante vista 360 desde la cima del monte everest en un día despejado.

tremendo vídeo de ben m jones, fantástico regalo.",2021-10-18 23:59:55 UTC,CedenoTuiter
"rt @karlaarcila: para recordar: pese a que ley de la corte de ee.uu prohíbe grabar la audiencia, pudimos ver a saab de naranja, aquí en 2011, de traje, se dio la mano con santos, su canciller, chávez y maduro. cuando lo capturaron, santos dijo que no tenían ni idea quien era en ese momento. https://t.co/fqvjy6tqay",2021-10-18 23:59:55 UTC,hlamprea1
rt @vicubasbus: este mes gasté plata como si tuvieta sueldo de diputado,2021-10-18 23:59:55 UTC,Alexia89363612
rt @lnv22: 2 cornudas mirandose https://t.co/sdqvgc5ki2,2021-10-18 23:59:55 UTC,Picedamaxi
rt @estigarribiapy_: pirayú benítez hubiese salido caminando 🤭 https://t.co/63njjvdr73,2021-10-18 23:59:55 UTC,anggiecazal
"@hbomaxla para cuándo la serie de wonder woman, @hbomaxla?",2021-10-18 23:59:55 UTC,mastercuk
"rt @cedlas: 📢 el 25/10, 17hs (arg), lanzamos #genlac, la iniciativa para la equidad de género del @cedlas

nos acompañarán @raquel1fernan y @laura_ripani

📝 inscripción: https://t.co/xf0mw4mpfd

👉conocé genlac en 90’’: https://t.co/ajnh94u45u

1/4 https://t.co/1gxps8lsmw",2021-10-18 23:59:55 UTC,euge_basile
*＊b1a4=bana,2021-10-18 23:59:55 UTC,i_jinyo_b
rt @alejandosalinas: amo estas historias https://t.co/3kjpfk3p49,2021-10-18 23:59:55 UTC,MemoelRanger
rt @conspiracionesp: este compañere abduce a la antigua. 👽👽👽 https://t.co/iq5kmtn6cr,2021-10-18 23:59:55 UTC,elmiquitojpg
@hsicnco @todo_cnco jajaja daniel,2021-10-18 23:59:55 UTC,ximeftcnco
"se me puso rotate y le seguia ur, ustedes no saben cmo estoy",2021-10-18 23:59:55 UTC,jaysgfside
"rt @danilerer: finalmente, y más allá de que ciertos sectores mantuvieron diálogos con el gobierno para no hacerlo, la @daiaargentina apelaría el fallo del tof 8 en relación a la causa del memorándum con irán... 💪💪",2021-10-18 23:59:55 UTC,PersanoFabian
rt @agustnjohnsonm3: @ale_tuitera vivan los y las que luchan,2021-10-18 23:59:55 UTC,lilaromana
rt @andreopauli: @marcoporchile y come pizza desde entonces,2021-10-18 23:59:55 UTC,Eliana1Maipu
"rt @marbach59327032: sin conocimientos de ingeniería, comprendí en términos generales el hilo, 🤗🤗🤗🤗👍 https://t.co/bze45bgtqx",2021-10-18 23:59:55 UTC,isabeltona
"rt @carlosd82019224: #tepexigobiernoprogresista felicitaciones a la administración 2018-2021, encabezada por alondra méndez, realizó un inmenso trabajo en el municipio, sus obras y acciones a favor del pueblo serán recordadas por siempre.",2021-10-18 23:59:55 UTC,Manelich6
rt @croshepikaso: como no tenerle ganas a este pixcel hppp https://t.co/iuswquwwyh,2021-10-18 23:59:55 UTC,DS1c3
"📊🤝🚇 min. @habreumrt realiza inspección a obra de tramo elevado guarenas-guatire, junto al pdte. del @metro_caracas @gruizg85, pdte. @sitramecaoficia @edisonb25 y gte. mant. carlos ashby entre otros representantes de la clase obrera del @metro_caracas @nicolasmaduro https://t.co/hbwyaa7t1m",2021-10-18 23:59:55 UTC,TransporteGobVe
"rt @carlosramirezl3: ""por colombia"" el ""diplomático venezolano""... https://t.co/jcikqteym7",2021-10-18 23:59:55 UTC,JONATHANDPC81
"rt @soyantiatlas: los amargos cuando ganan/ ah pero cuándo pierden

🤡🤡🤡 https://t.co/ksnmnl02mo",2021-10-18 23:59:55 UTC,D10Srojiblanco_
30 días más sin vuelos internacionales desde y hacia venezuela https://t.co/mce2mi5qno,2021-10-18 23:59:55 UTC,TachiraNoticias
"rt @centrofidel: #fidel:""el conocimiento no solo es una necesidad del pensamiento y de la cultura, sino también es una necesidad revolucionaria de cualquier pueblo conocer su historia y conocer la historia del mundo"". @biblionaccuba #fidelvive #cubaescultura #bncjm_aniversario120 https://t.co/gomk4aynqe",2021-10-18 23:59:55 UTC,magdaariasr
"rt @undesxtree: no nos dejemos ir, realmente no quiero encontrar a nadie más.",2021-10-18 23:59:55 UTC,camiiorayen
rt @diegochileunido: y todavía hay personas que quieren indultar a delincuentes que destruyen nuestra nación…,2021-10-18 23:59:55 UTC,RiveraNotario
@yglovg si porfa,2021-10-18 23:59:55 UTC,jiminilvy
"rt @winston_dunhill: que país de cuarrrrrta, a todo nivel.",2021-10-18 23:59:55 UTC,MariaOrihuela13
cállate o te beso,2021-10-18 23:59:55 UTC,pakk_u
"rt @yhairr: ahora si!
bendita!
#benditoescandalo",2021-10-18 23:59:55 UTC,fann_pablo
@esperanzadaps @fer8050 @dra_rocks tal cual ..por acá lo puse es así 👇 https://t.co/sctrd9sgio,2021-10-18 23:59:55 UTC,MeryCek18
@davruiz_ @istanaaa la de la varita mágicaaaaaa jajaja,2021-10-18 23:59:55 UTC,YoshMontero
rt @indirectasrock: necesito miles de mimos (todos tuyos).,2021-10-18 23:59:55 UTC,orilavianooo
rt @lugurchenco: traigan a la china suárez y que me separe de las harinas.,2021-10-18 23:59:55 UTC,Cami_Carro
"rt @antikdel41: ¿alguien puede ubicar a estos dos energúmenos?
decirnos sus nombres y datas personales? https://t.co/nfqmdobl0s",2021-10-18 23:59:55 UTC,silvinabs22
"día a día el pueblo venezolano desde distintas trincheras trabaja para fortalecer la seguridad y soberanía alimentaria. 

¡#alimentaresamaravenezuela! https://t.co/k6ixskmspa",2021-10-18 23:59:55 UTC,PDVAL_OFICIAL
rt @lyndaluna06: aquellos egresados del #iesc quienes conocen a #azael please y puedan donar sangre se les agraece @limyueng @rainpty @lineth2703 please rt https://t.co/zdqs0ymsrl,2021-10-18 23:59:55 UTC,valmontzerrat
"rt @a_ausdenruthen: jóvenes construyendo el futuro reparten abrazos a otro grupo de jóvenes. 

en esta manifestación de afecto tetratransformador, mueren 6.

 https://t.co/svwzif4obo",2021-10-18 23:59:55 UTC,Nachoso_1
"rt @guatonpolar: estocolmo, ahora #piñera a #lahaya https://t.co/fs2tw5rjq9",2021-10-18 23:59:55 UTC,010298_
@jiminnflirty @bts_twt lo digo por milésima vez hay que intentar el método que están usando antes de un comeback,2021-10-18 23:59:55 UTC,ikthlove
"rt @comercial_as1: don josé tiene un taller de carpintería y granito en el sector de guamaní.
cómo muchos de nosotros lucha día a día sin descanso para sacar adelante a su familia. 
comercial as está implementando una #campaña de promoción de #microempresarios. ayúdanos con un #rt
tel. 0998265080. https://t.co/kfvpyf1c6x",2021-10-18 23:59:55 UTC,Anazcoaulio
@mejoralitook decí que no había tránsito.,2021-10-18 23:59:55 UTC,felirro
"rt @animales_cdmx: muuu sigue en espera de su familia ideal, aún es un bebesito que solo quiere jugar, comer latita, y atrapar moscas 😅 al adoptarle les garantizamos horas de mucha risa y diversión además de que ya trae disfraz incluido para este halloween #adopciónresponsable #adoptaungatito 🎃 https://t.co/0jmxekneyz https://t.co/n89smydjir",2021-10-18 23:59:55 UTC,IncogniteSr
gkfkfkfkgmfngmf https://t.co/bnpgwlvxdb,2021-10-18 23:59:55 UTC,ghmoonie
rt @antoisunreal: buenos dias https://t.co/vcrhjhlffc,2021-10-18 23:59:55 UTC,PaulaPjrr1404
"rt @melnicksergio: el secretario del senado, sigue ganando 18.000.000 al mes.. el doble que el presidente de la república y no pasa absolutamente nada..  sólo en esta clase política chilena",2021-10-18 23:59:55 UTC,Guiller26910656
"rt @juampimanera22: sin embargo, los mexicanos, a través de fassi, tomaron cierto poder e injerencia en la toma de decisiones y plantearon un plan a 3 años, cuyos principales objetivos fueron devolver al club a primera división y superar los 50.000 socios. lo lograron en el tiempo estipulado. https://t.co/xcuwlxfgc5",2021-10-18 23:59:55 UTC,ANDRESGUAPA1
"mendoza y entre ríos, las más rezagadas del país en la vacunación de niños contra la covid-19 https://t.co/6b1cm6jctu",2021-10-18 23:59:55 UTC,3Danimenduco
rt @xdrago001: @samsungespana @tortilla_land hola mi momento fav fue cuando nadie dejaba hablar a axozer y cuando la ciudad se estaba alumbrando uwu no puedo mencionar a un amigo porque literal no tengo amigos en twitter :´( quiero ganar porfa😍😝,2021-10-18 23:59:55 UTC,xdrago001
"rt @observadbinario: #bin no es solo ""celebrar"" la captura y sometimiento a juicio de alex saab., aquí hay muchos ""opositores"" que tienen demasiado que explicar al país y a la justicia. yo sí estoy casi seguro de que, en el juicio a seguir, saldrán a colación los hechos y sus personajes.",2021-10-18 23:59:55 UTC,Cycad779
"rt @musictrendscol: #urgente: @pearljam se une a @rockinrio 🇧🇷 2022 🔥 

el anuncio será oficial dentro de los próximos días. 

aún no tenemos información sobre negociaciones con algún otro país, pero es factible que suceda.

atentos 🚨 https://t.co/vc6atsy51s",2021-10-18 23:59:55 UTC,Lolita_Cerilla
@kosftari apoco no?👀,2021-10-18 23:59:55 UTC,Dannyy_1509
rt @migueldiazok1: 🔥decisión histórica: la justicia española ordenó retirar libros lgbt de escuelas,2021-10-18 23:59:55 UTC,framos300
"rt @fperaltagye: esos puentes peatonales sobre el río guayas son un peligro. ahora le tocó el turno al buque escuela cisne branco de la armada del brasil.

¿quién fue el estúpido que los mandó a poner allí?

@armada_ecuador @marmilbr https://t.co/xr650wym8b",2021-10-18 23:59:55 UTC,louloeber
"rt @parrawilmaryvs: q una mujer te escriba una carta ok, pero unn hombreee, wtfff dónde me consigo a uno de esos???",2021-10-18 23:59:55 UTC,liz_araujoo
rt @crabadise: le conté a namjoon cómo me sentía y escribió badbye,2021-10-18 23:59:55 UTC,DaniSweetNigh
"rt @sergiou01329861: la machi francisca linconao junto al comunista jadue celebrando la violencia, destrucción y saqueos. https://t.co/v7nxzr3pgj",2021-10-18 23:59:55 UTC,LabbeBarros
@lluendel022 claro,2021-10-18 23:59:55 UTC,izaxzn
no puede ser que me cuelgue tannto,2021-10-18 23:59:55 UTC,ManuRam0s
@b7lldid sisis,2021-10-18 23:59:55 UTC,inmyheadll
rt @latercera: por mayoría absoluta: tc resuelve que jadue puede ser acusado por “prevaricación y negociación incompatible por tráfico de influencias” tras conflicto con inmobiliaria en recoleta https://t.co/g32wdeulys https://t.co/vxqupgrvwc,2021-10-18 23:59:55 UTC,BMalebran
@with_darkness mucho mi amor🤣❤️,2021-10-18 23:59:55 UTC,AgedaRivera
"menos mal me dijeron a las 6, porque apenas son las 7 y yo mas ready q un yogurt",2021-10-18 23:59:55 UTC,Geraldine_olmos
"tapado arrecho
mejor dicho las sopas https://t.co/tnrwfdfoe5",2021-10-18 23:59:55 UTC,thxjk__
"rt @luposinister666: @estadodederech1 @dyana_jc si los medios le han dado tanta cobertura, y hasta el propio sánchez se ha bajado los pantalones ante el derechón de isidoro, es porque temen y mucho el frente que pretende construir @yolanda_diaz_ con el apoyo incondicional de @pabloiglesias.
no todo está perdido.
syr.",2021-10-18 23:59:55 UTC,RafaelLucasGar1
@camilaemiliasv un pais de mierda,2021-10-18 23:59:55 UTC,Dj_Oese99
"rt @jflafaurie: los que se han robado la salud son los integrantes del pacto histérico. uno de ellos, que hoy posa como monje, está involucrado en multimillonarios escándalos con la esap, saludcoop, caprecom y tiene la costumbre de guardar fuertes sumas de dinero en sus apartamentos y maletines.",2021-10-18 23:59:55 UTC,clementechaparr
@jeonginzkz re sí jajsjaja,2021-10-18 23:59:55 UTC,hyunjinoeasy
se q si no hago mi tarea m ira re mal pero esa no es suficiente razón para salir de tw ayuda alguien dígame algo,2021-10-18 23:59:55 UTC,bambi_ba0
@coqueee_ cara gritando de miedocara gritando de miedocara gritando de miedocara gritando de miedo,2021-10-18 23:59:55 UTC,ELFREXYT
"rt @boteroitaly: comunicación exitosa, amplio respaldo entre la ciudadanía,verdadero y fuerte apoyo de la opinión pública y su política de ""mano dura"" para lidiar con las armas y los criminales,logrará hacer mucho más que cualquier candidato que mantiene a la sociedad desinformada y descontenta. https://t.co/qwprubked4",2021-10-18 23:59:55 UTC,jorgeleonnet
se me bajo la presión https://t.co/5n5futpafc,2021-10-18 23:59:55 UTC,sheistaurus
aaaa puta q me duele el brazo,2021-10-18 23:59:55 UTC,trolatrsite
ya ro7777y♥️♥️♥️♥️🥺 https://t.co/ainfz2qdhh,2021-10-18 23:59:55 UTC,Ayoyaaa__
"@rafazepam eso no es desesperanza es robar y destruir, por muy lindo que lo quieras pintar tales son delincuentes 👍",2021-10-18 23:59:55 UTC,gabojedao
"@harveys72812629 solo los que votan tú sabes por quien!! detrás de este caos de hoy hay nombres, ya se han manifestado y la gente los conoce.",2021-10-18 23:59:55 UTC,FM01732868
rt @caalf01: adoptando un perro callejero (del miedo al agradecimiento) https://t.co/8dupsb15zt,2021-10-18 23:59:55 UTC,FloorMacedo
"@ma_u_espo @fortinerodelsur @nachomdeo @claroquesimm si forro, para vendérsela a los pelotudos cómo vos !! la van a necesitar",2021-10-18 23:59:55 UTC,Pehuen32783916
"rt @schusmariano: igual los peores no son ni icardi, ni wanda ni la china. son los que dicen: ""disculpame, no veo chimentos. pasan cosas importantes en el mundo, ¿sabías?""",2021-10-18 23:59:55 UTC,MicaPacheco96
@sweetrose071 chau no se que se fumó mi mamá jadjajjaaj,2021-10-18 23:59:55 UTC,yungismile
@campeonx100pre encontraste el reglamento del clásico del caribe? lo leíste? cuando lo leas y encuentres que diga algo al respecto me avisas.,2021-10-18 23:59:55 UTC,ViagraHipica
rt @susialiaga: buenos días sólo al loco que sapeó el whatsapp del ministerio de desarrollo social,2021-10-18 23:59:55 UTC,_jfran__
abro hilo explicando el loonaverse https://t.co/2xxttpkc4i,2021-10-18 23:59:55 UTC,hY_Yejo
rt @koopidje0n: un hilo de yoongi amando  jungkook que no sabías que necesitabas. https://t.co/me6ontz4bf,2021-10-18 23:59:55 UTC,Pucheritosmimi
lo de wanda- icardi- la china es un constante se piko y me encanta! https://t.co/e0vnmwy3vz,2021-10-18 23:59:55 UTC,santi_crz
rt @kevincl28: el resentimiento y odio desde joven de petro no lo deja vivir por eso es #eltiranoexpropiador,2021-10-18 23:59:55 UTC,marianagoyenec2
"@josluzardo4 no lu : el bps y la cpu están desfinanciadas según el gobierno , porque los zurdos hicieron tan bien las cosas,  que vivimos mas años https://t.co/72dsuplnee",2021-10-18 23:59:55 UTC,latorre_magali
que cosa horrible las despedidas 😭,2021-10-18 23:59:54 UTC,YulianaOjeda13
@iludidopelocrf amigo pare de me criticar,2021-10-18 23:59:54 UTC,fonkael
bexganteng keren manly,2021-10-18 23:59:54 UTC,xoyeollo_
@elmaestrobibi1 no comprendo,2021-10-18 23:59:54 UTC,Treichvillois
"@valdiagoxy qué es autoestima?
es el nuevo procesador ryzen 9 con 32 núcleos y 64 hilos?",2021-10-18 23:59:54 UTC,Anderson_DuranV
